tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0103218,"Vivat, gardemariny!","Vivat, gardemariny!",1991,140,"Adventure,History,Romance",nm0238679,"nm0238679,nm0619330,nm0815151",6.6,781
tt0103223,To Want to Fly,Volere volare,1991,94,"Comedy,Fantasy","nm0544306,nm0629309","nm0629309,nm0544306,nm0320081,nm0584945,nm1220672",6.7,950
tt0103241,What About Bob?,What About Bob?,1991,99,Comedy,nm0000568,"nm0765091,nm0957205,nm0776114",7.0,78012
tt0103247,White Fang,White Fang,1991,107,"Adventure,Drama,Family",nm0459170,"nm0518711,nm0742236,nm0857904,nm0266409",6.7,23812
tt0103262,Wild Hearts Can't Be Broken,Wild Hearts Can't Be Broken,1991,88,"Drama,Family,Romance",nm0591171,"nm0931285,nm0766020",7.2,6290
tt0103282,A Woman's Tale,A Woman's Tale,1991,93,Drama,nm0185187,"nm0185187,nm0225317",7.1,532
tt0103285,Once Upon a Time in China,Wong Fei Hung,1991,134,Action,nm0007139,"nm0007139,nm0950699,nm0504935,nm0849283",7.2,21071
tt0103292,Lee Rock,Ng yee taam jeung Lui Lok juen: Lui lo foo,1991,128,"Crime,Drama",nm0013828,nm0151013,7.0,937
tt0103295,Swordsman II,Siu ngo gong woo: Dung Fong Bat Bai,1992,112,"Action,Comedy,Fantasy",nm0155642,"nm0149222,nm0150909,nm0849283,nm0007139",7.1,5099
tt0103316,Yumeji,Yumeji,1991,128,Drama,nm0840671,nm0849099,6.9,827
tt0103328,Tricky Brains,Jing goo juen ga,1991,110,"Comedy,Romance",nm0939147,nm0939147,7.0,3269
tt0103337,Zombie and the Ghost Train,Zombie ja Kummitusjuna,1991,88,"Comedy,Drama,Music",nm0442455,"nm0433520,nm0442455,nm0672394",7.2,1205
tt0103595,1991: The Year Punk Broke,1991: The Year Punk Broke,1992,99,"Documentary,History,Music",nm0416414,\N,7.3,1663
tt0103601,"588, rue Paradis","588, rue Paradis",1992,130,Drama,nm0894577,nm0894577,6.9,2115
tt0103616,The Accompanist,L'accompagnatrice,1992,102,"Drama,Music,Romance",nm0002218,"nm0002218,nm0126898,nm0073337",6.9,1063
tt0103634,Aileen Wuornos: The Selling of a Serial Killer,Aileen Wuornos: The Selling of a Serial Killer,1992,87,"Crime,Documentary",nm0112374,nm0112374,6.9,3186
tt0103639,Aladdin,Aladdin,1992,90,"Adventure,Animation,Comedy","nm0166256,nm0615780","nm0166256,nm0615780,nm0254645,nm0744429,nm0560329,nm0021249,nm0423161,nm0363125,nm0629734,nm0322368,nm0740311,nm0500858,nm0969162,nm0361315,nm0510674,nm0715949,nm1061362,nm0761498,nm0683724,nm0893358,nm2481272",8.0,494113
tt0103640,Alan & Naomi,Alan & Naomi,1992,96,"Drama,Family",nm0888241,"nm0506283,nm0395302",6.7,506
tt0103670,American Heart,American Heart,1992,113,"Crime,Drama,Romance",nm0068385,"nm0798960,nm0068385,nm0548266",6.7,3808
tt0103671,American Me,American Me,1992,125,"Biography,Crime,Drama",nm0001579,"nm0616152,nm0620290",7.1,11289
tt0103704,A Scene at the Sea,"Ano natsu, ichiban shizukana umi",1991,101,"Comedy,Drama,Romance",nm0001429,nm0001429,7.5,7262
tt0103743,The Eight Immortals Restaurant: The Untold Story,Bat sin fan dim: Yan yuk cha siu bau,1993,96,"Comedy,Crime,Horror","nm0497097,nm0946875","nm0490634,nm0265305",6.8,5162
tt0103746,The Lady,Baanoo,1992,115,Drama,nm0576529,\N,6.8,641
tt0103759,Bad Lieutenant,Bad Lieutenant,1992,96,"Crime,Drama,Thriller",nm0001206,"nm0526259,nm0001206",7.0,51607
tt0103767,Baraka,Baraka,1992,96,Documentary,nm0294825,"nm0294825,nm0536056,nm0629382,nm0629368,nm6897793",8.5,42701
tt0103772,Basic Instinct,Basic Instinct,1992,127,"Drama,Mystery,Romance",nm0000682,nm0000390,7.1,238768
tt0103776,Batman Returns,Batman Returns,1992,126,"Action,Crime,Fantasy",nm0000318,"nm0004170,nm0914058,nm0358334",7.1,346117
tt0103787,Being at Home with Claude,Being at Home with Claude,1992,85,"Crime,Drama,Romance",nm0064394,nm0239469,7.0,676
tt0103790,La belle histoire,La belle histoire,1992,210,"Adventure,Drama,Fantasy",nm0500988,"nm0500988,nm0243360",6.6,877
tt0103791,Belle Epoque,Belle Epoque,1992,109,"Comedy,Drama,Romance",nm0874096,"nm0044156,nm0305869,nm0874096",7.1,12034
tt0103793,Benny's Video,Benny's Video,1992,110,"Crime,Drama",nm0359734,nm0359734,7.1,20358
tt0103800,Betty,Betty,1992,103,Drama,nm0001031,"nm0001031,nm0799442",6.8,1882
tt0103838,The Inner Circle,The Inner Circle,1991,137,"Biography,Crime,Drama",nm0464846,"nm0464846,nm0882409",7.0,2275
tt0103850,Bob Roberts,Bob Roberts,1992,102,"Comedy,Drama",nm0000209,nm0000209,7.0,16163
tt0103872,Brain Donors,Brain Donors,1992,80,Comedy,nm0240797,"nm0698493,nm0442151,nm0753452,nm0570130",6.9,4947
tt0103873,Dead Alive,Braindead,1992,104,"Comedy,Fantasy,Horror",nm0001392,"nm0801728,nm0909638,nm0001392",7.5,108657
tt0103874,Dracula,Bram Stoker's Dracula,1992,128,"Fantasy,Horror,Romance",nm0000338,"nm0831290,nm0366337",7.4,263996
tt0103882,A Brief History of Time,A Brief History of Time,1991,80,"Biography,Documentary",nm0001554,nm0370071,7.3,6145
tt0103888,Brother's Keeper,Brother's Keeper,1992,104,"Crime,Documentary,Mystery","nm0075666,nm0802501",\N,7.5,4400
tt0103905,Man Bites Dog,C'est arrivé près de chez vous,1992,95,"Comedy,Crime,Drama","nm0069715,nm0095298,nm0688143","nm0069715,nm0095298,nm0688143,nm0851759",7.4,45719
tt0103919,Candyman,Candyman,1992,99,"Horror,Thriller",nm0741262,"nm0000850,nm0741262",6.7,108207
tt0103926,Careful,Careful,1992,100,"Comedy,Drama,Horror",nm0534665,"nm0534665,nm0866014",7.0,2012
